Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9b82945d0621ed5c2be2e3de59d23a81b9e2a340aea56848e008f07377976f6b,2019-08,City of London Police,City of London Police,-0.086051,51.513569,On or near FINCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
b8700705ec0329f4ae108b35a01112958008871629d7478f687f2f680a55b783,2019-08,City of London Police,City of London Police,-0.085833,51.513952,On or near FINCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
589e6b525d3fd41ec277fe9765e0f9d32718ae633d616d18eed9e47d98b0b107,2019-08,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Unable to prosecute suspect
11a0254cbf3d76abfd3f5489021b14cac65376bae0e3095f4885d27e510eec29,2019-08,City of London Police,City of London Police,-0.081580,51.520510,On or near PINDAR STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
1962e9dc548ae266d85a73e6e3fe53cc530bde13326f5516e153d6e9a1d73ee7,2019-08,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
26500bac71143af1c1e768e6e80122b2ad785aa602d4eb78c739af3b070e76fc,2019-08,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Unable to prosecute suspect
8eb8f1a7d04aa1cf3e53956bb614966031888b6691bad0c4259a4d185a44ffc5,2019-08,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Unable to prosecute suspect
e889a14c192a3b6c9c5de587046c6bce843f3260307bfc87b0fa837dff450dc9,2019-08,City of London Police,City of London Police,-0.096348,51.515472,On or near FOSTER LANE,E01000001,City of London 001A,Investigation complete; no suspect identified
818c1e46642cd2c982f240ed0620a4922f327532a838d3c073f3981da7c3e0a0,2019-08,City of London Police,City of London Police,-0.094468,51.521853,On or near GOLDEN LANE,E01000003,City of London 001C,Investigation complete; no suspect identified
e6a3aab9ea598959e1d61b548948807eadf183f9fe027613693c42e17bd858da,2019-08,City of London Police,City of London Police,-0.089435,51.511223,On or near BUSH LANE,E01032739,City of London 001F,Unable to prosecute suspect
be7ca4b03cc34b64c650b334b8cb250f105f14b76db783fb01fb59417ca958a0,2019-08,City of London Police,City of London Police,-0.079448,51.511554,On or near FENCHURCH PLACE,E01032739,City of London 001F,Unable to prosecute suspect
